"[200,220,200,220,280,349]"	3	3	19
"[200,220,200,220,340,246]"	6	6	25
"[200,220,200,220,360,349]"	7	6	30
"[200,220,200,220,340,398]"	6	6	36
"[200,220,200,220,360,297]"	7	7	43
"[200,220,200,450,590,365]"	7	7	50
"[200,220,200,300,400,398]"	5	6	53
"[200,220,200,450,550,365]"	5	5	58
"[200,220,200,300,360,398]"	3	4	59
"[200,220,200,220,260,398]"	2	3	59
"[200,220,200,220,320,297]"	5	5	64
"[200,220,200,300,340,398]"	2	3	64
"[200,220,200,220,280,398]"	3	3	67
"[200,220,200,220,340,297]"	6	6	73
"[200,240,200,300,420,398]"	3	6	73
			
"[200,220,200,220,260,398]"	2	2	2
"[200,220,200,220,260,349]"	2	2	4
"[200,220,200,450,570,365]"	6	6	10
"[200,220,200,220,280,349]"	3	4	11
"[200,220,200,450,490,365]"	2	2	13
"[200,220,200,220,280,246]"	3	3	16
"[200,220,200,450,510,365]"	3	3	19
"[200,220,200,220,360,246]"	7	6	24
"[200,220,200,220,260,246]"	2	2	26
"[200,220,200,220,360,297]"	7	5	26
"[200,220,200,220,320,349]"	5	4	29
"[200,220,200,220,280,398]"	3	3	32
"[200,220,200,300,360,398]"	3	3	35
"[200,220,200,300,340,398]"	2	2	37
"[200,220,200,300,400,398]"	5	5	42
"[200,220,200,220,360,398]"	7	6	47
"[200,220,200,300,440,398]"	7	7	54
"[200,220,200,220,340,246]"	6	5	58
"[200,220,200,450,550,365]"	5	5	63
"[200,220,200,220,340,398]"	6	6	69
"[200,220,200,220,260,297]"	2	2	71
"[200,220,200,220,320,246]"	5	4	74
"[200,220,200,220,280,297]"	3	3	77
"[200,220,200,220,320,398]"	5	6	80
"[200,220,200,220,340,349]"	6	6	86
"[200,220,200,220,360,349]"	7	7	93
"[200,220,200,450,590,365]"	7	8	98
"[200,220,200,220,320,297]"	5	5	103
"[200,220,200,220,340,297]"	6	5	107
			
"[200, 220, 200, 220, 360, 246]"	7	7	7
"[200, 220, 200, 300, 360, 398]"	3	3	10
"[200, 220, 200, 220, 280, 246]"	3	3	13
"[200, 220, 200, 300, 340, 398]"	2	2	15
"[200, 220, 200, 450, 510, 365]"	3	3	18
"[200, 220, 200, 300, 440, 398]"	7	6	23
"[200, 240, 200, 300, 420, 398]"	3	5	23
"[200, 220, 200, 220, 260, 246]"	2	2	25
"[200, 220, 200, 220, 280, 349]"	3	3	28
"[200, 220, 200, 220, 260, 297]"	2	2	30
"[200, 220, 200, 220, 280, 297]"	3	3	33
"[200, 220, 200, 220, 280, 398]"	3	4	34
"[200, 220, 200, 220, 260, 349]"	2	2	36
"[200, 220, 200, 220, 360, 398]"	7	6	41
"[200, 220, 200, 220, 320, 398]"	5	5	46
"[200, 220, 200, 220, 360, 349]"	7	6	51
"[200, 220, 200, 220, 340, 297]"	6	6	57
"[200, 220, 200, 220, 260, 398]"	2	3	57
"[200, 220, 200, 450, 490, 365]"	2	2	59
"[200, 220, 200, 220, 340, 398]"	6	5	63
"[200, 220, 200, 300, 400, 398]"	5	5	68
"[200, 220, 200, 220, 340, 246]"	6	6	74
"[200, 220, 200, 450, 570, 365]"	6	7	78
"[200, 220, 200, 220, 360, 297]"	7	7	85
"[200, 220, 200, 220, 320, 297]"	5	6	88
"[200, 220, 200, 220, 340, 349]"	6	7	92
"[200, 220, 200, 450, 550, 365]"	5	6	95
"[200, 220, 200, 220, 320, 246]"	5	6	98
"[200, 220, 200, 220, 320, 349]"	5	6	101
			
"[200, 220, 200, 220, 360, 246]"	7	6	5
"[200, 220, 200, 220, 360, 297]"	7	7	12
"[200, 220, 200, 450, 590, 365]"	7	7	19
"[200, 220, 200, 300, 440, 398]"	7	5	19
"[200, 220, 200, 220, 320, 349]"	5	4	22
"[200, 220, 200, 220, 260, 349]"	2	2	24
"[200, 220, 200, 450, 490, 365]"	2	2	26
"[200, 220, 200, 220, 260, 246]"	2	2	28
"[200, 220, 200, 450, 550, 365]"	5	4	31
"[200, 220, 200, 220, 360, 349]"	7	5	31
"[200, 220, 200, 220, 320, 398]"	5	4	34
"[200, 220, 200, 220, 260, 398]"	2	2	36
"[200, 240, 200, 300, 420, 398]"	3	3	39
"[200, 220, 200, 220, 260, 297]"	2	2	41
"[200, 220, 200, 220, 320, 246]"	5	4	44
"[200, 220, 200, 300, 400, 398]"	5	3	44
"[200, 220, 200, 220, 360, 398]"	7	6	49
"[200, 220, 200, 300, 360, 398]"	3	3	52
"[200, 220, 200, 220, 340, 349]"	6	5	56
"[200, 220, 200, 220, 340, 398]"	6	4	56
"[200, 220, 200, 450, 510, 365]"	3	3	59
"[200, 220, 200, 300, 340, 398]"	2	2	61
"[200, 220, 200, 220, 320, 297]"	5	5	66
"[200, 220, 200, 220, 280, 246]"	3	3	69
"[200, 220, 200, 220, 280, 398]"	3	2	70
"[200, 220, 200, 220, 280, 297]"	3	2	71
"[200, 220, 200, 450, 570, 365]"	6	5	75
"[200, 220, 200, 220, 340, 246]"	6	6	81
"[200, 220, 200, 220, 280, 349]"	3	2	82
			
"[200, 220, 200, 220, 340, 246]"	6	6	6
"[200, 220, 200, 450, 570, 365]"	6	7	10
"[200, 220, 200, 220, 320, 349]"	5	5	15
"[200, 220, 200, 220, 320, 246]"	5	5	20
"[200, 220, 200, 450, 550, 365]"	5	6	23
"[200, 220, 200, 220, 260, 297]"	2	2	25
"[200, 220, 200, 220, 280, 297]"	3	3	28
"[200, 220, 200, 220, 360, 246]"	7	0	0
"[200, 220, 200, 300, 360, 398]"	3	3	3
"[200, 220, 200, 220, 280, 297]"	3	3	6
"[200, 220, 200, 220, 360, 398]"	7	7	13
"[200, 220, 200, 450, 550, 365]"	5	5	18
"[200, 220, 200, 220, 360, 349]"	7	8	23
"[200, 220, 200, 220, 360, 297]"	7	8	28
"[200, 220, 200, 220, 340, 297]"	6	7	32
"[200, 220, 200, 300, 400, 398]"	5	6	35
"[200, 220, 200, 220, 260, 398]"	2	2	37
